PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23
Alicia,Bear Branch Sportsfield Park,Main,2022-05-05 16:08,82,28,4,3,4,4,5,6,6,4,5,4,6,4,4,6,5,5,3,4,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-05-04 14:59,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-05-04 14:59,55,1,3,4,3,2,4,4,2,3,3,2,3,3,3,2,4,3,4,3,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-05-04 14:59,55,1,3,3,3,2,4,4,4,2,4,2,4,3,3,3,3,3,2,3,,,,,
Par,T.C. Jester Park,Full 21 - White Tees,2022-05-03 17:02,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Cody,T.C. Jester Park,Full 21 - White Tees,2022-05-03 17:02,65,2,3,4,4,2,3,3,3,4,3,2,3,3,6,3,2,3,3,3,3,3,2,,
Mears,T.C. Jester Park,Full 21 - White Tees,2022-05-03 17:02,65,2,3,4,3,3,3,3,3,3,2,2,5,3,3,4,2,4,3,4,3,2,3,,
Alex,T.C. Jester Park,Full 21 - White Tees,2022-05-03 17:02,69,6,3,4,4,4,3,3,3,3,2,3,3,3,4,4,3,5,3,3,3,3,3,,
Par,Bear Branch Sportsfield Park,Main,2022-04-27 17:11,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-04-27 17:11,58,4,3,2,4,3,4,4,2,2,3,3,4,4,3,3,4,3,4,3,,,,,
Mears,Bear Branch Sportsfield Park,Main,2022-04-27 17:11,57,3,3,3,4,3,5,4,4,2,2,3,3,3,3,3,3,3,3,3,,,,,
BurtRuckus,Bear Branch Sportsfield Park,Main,2022-04-27 17:11,63,9,4,3,4,3,4,3,4,2,3,3,4,3,4,4,4,3,4,4,,,,,
Par,Stonebridge Church,Main,2022-04-21 17:04,55,,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Mears + Cody,Stonebridge Church,Main,2022-04-21 17:04,50,-5,2,3,3,4,3,3,2,2,2,3,3,2,3,3,3,3,3,3,,,,,
Jason D. + Ryan,Stonebridge Church,Main,2022-04-21 17:04,43,-12,2,2,2,2,3,3,2,3,4,2,3,2,2,2,2,3,2,2,,,,,
Henning,Stonebridge Church,Main,2022-04-21 17:04,51,-4,3,2,3,3,2,3,3,3,2,3,4,3,2,2,3,3,4,3,,,,,
Jeff + Alex,Stonebridge Church,Main,2022-04-21 17:04,54,-1,3,3,3,2,3,4,3,3,2,3,3,3,3,3,3,3,3,4,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-04-19 16:43,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-04-19 16:43,61,7,3,3,3,5,3,5,1,4,3,2,4,4,3,4,4,3,4,3,,,,,
Henning,Bear Branch Sportsfield Park,Main,2022-04-19 16:43,64,10,3,3,5,4,3,3,3,4,4,3,4,4,5,3,4,3,3,3,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-04-13 13:31,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-04-13 13:31,62,8,4,2,3,3,3,3,3,3,3,3,7,3,6,3,3,3,3,4,,,,,
Mears,Bear Branch Sportsfield Park,Main,2022-04-13 13:31,59,5,3,5,3,3,4,3,3,3,2,2,4,4,3,3,4,3,3,4,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-04-13 13:31,58,4,4,3,3,3,3,4,2,3,3,4,3,2,3,5,3,3,4,3,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-04-11 14:59,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-04-11 14:59,57,3,3,3,3,2,4,4,3,3,2,2,3,4,4,5,3,3,3,3,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-04-11 14:59,58,4,3,4,4,2,3,4,3,2,2,3,4,3,4,3,4,4,3,3,,,,,
Par,Woods Edge Church,Main,2022-04-10 14:14,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,
Cody,Woods Edge Church,Main,2022-04-10 14:14,32,5,3,3,3,5,3,3,4,5,3,,,,,,,,,,,,,,
Alex,Woods Edge Church,Main,2022-04-10 14:14,28,1,3,3,3,3,3,3,3,3,4,,,,,,,,,,,,,,
BurtRuckus,Woods Edge Church,Main,2022-04-10 14:14,34,7,4,4,3,3,4,5,3,4,4,,,,,,,,,,,,,,
Par,Terramont Park,Main,2022-04-10 13:05,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,
Cody,Terramont Park,Main,2022-04-10 13:05,30,3,3,4,4,3,4,4,2,4,2,,,,,,,,,,,,,,
Alex,Terramont Park,Main,2022-04-10 13:05,30,3,2,4,4,4,3,4,3,4,2,,,,,,,,,,,,,,
BurtRuckus,Terramont Park,Main,2022-04-10 13:05,33,6,3,5,3,4,4,4,4,3,3,,,,,,,,,,,,,,
Par,Gwen Hruska Park,Main,2022-04-10 11:51,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,
Cody,Gwen Hruska Park,Main,2022-04-10 11:51,31,4,3,3,3,3,4,4,3,4,4,,,,,,,,,,,,,,
Alex,Gwen Hruska Park,Main,2022-04-10 11:51,34,7,3,5,5,4,3,4,4,3,3,,,,,,,,,,,,,,
BurtRuckus,Gwen Hruska Park,Main,2022-04-10 11:51,35,8,3,4,4,6,4,3,4,3,4,,,,,,,,,,,,,,
Jay,Gwen Hruska Park,Main,2022-04-10 11:51,37,10,4,4,5,4,3,6,5,3,3,,,,,,,,,,,,,,
Par,Benders Landing (Liberty Park),Main,2022-04-10 10:24,30,,3,4,4,3,4,3,3,3,3,,,,,,,,,,,,,,
Cody,Benders Landing (Liberty Park),Main,2022-04-10 10:24,33,3,3,3,4,4,5,3,4,3,4,,,,,,,,,,,,,,
Alex,Benders Landing (Liberty Park),Main,2022-04-10 10:24,39,9,5,5,5,5,4,4,4,4,3,,,,,,,,,,,,,,
BurtRuckus,Benders Landing (Liberty Park),Main,2022-04-10 10:24,35,5,4,4,4,3,5,3,4,5,3,,,,,,,,,,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-04-08 15:37,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-04-08 15:37,58,4,2,3,3,3,3,3,3,2,3,4,4,4,4,3,3,4,3,4,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-04-08 15:37,57,3,3,3,4,2,3,4,2,3,4,5,3,3,3,3,2,4,3,3,,,,,
BurtRuckus,Bear Branch Sportsfield Park,Main,2022-04-08 15:37,70,16,3,3,5,3,4,4,4,3,4,4,5,5,5,3,4,4,3,4,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-04-06 16:02,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-04-06 16:02,55,1,3,3,2,3,2,4,3,3,2,3,5,3,4,3,4,2,3,3,,,,,
Mears,Bear Branch Sportsfield Park,Main,2022-04-06 16:02,57,3,2,3,4,4,3,4,2,2,3,3,3,3,4,4,3,4,3,3,,,,,
Alex,Bear Branch Sportsfield Park,Main,2022-04-06 16:02,63,9,3,3,3,5,5,4,4,3,4,4,3,4,4,3,2,3,3,3,,,,,
Mike Bevel,Bear Branch Sportsfield Park,Main,2022-04-06 16:02,73,19,5,2,3,4,3,5,4,3,5,3,5,4,6,4,5,5,3,4,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-04-04 16:48,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-04-04 16:48,64,10,2,3,4,5,4,4,2,3,5,4,5,3,4,4,3,3,3,3,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-04-04 16:48,59,5,4,3,3,3,5,4,2,2,3,2,4,3,5,2,3,3,4,4,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-04-01 15:24,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-04-01 15:24,67,13,5,2,2,3,3,6,3,2,4,3,5,4,4,4,3,4,6,4,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-04-01 15:24,56,2,3,4,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,3,,,,,
